locus,ancestry_population,Sample1,Sample2,jaccard_distance,overlap_coefficient
IGH,EUR,P28_I127_S1,P28_I138_S1,0.391666666666667,0.829545454545455
IGH,EUR,P28_I128_S1,P28_I138_S1,0.491379310344828,0.67816091954023
IGH,EUR,P28_I129_S1,P28_I138_S1,0.222222222222222,0.875
IGH,EUR,P28_I12_S1,P28_I138_S1,0.371681415929204,0.806818181818182
IGH,EUR,P28_I130_S1,P28_I138_S1,0.520325203252033,0.670454545454545
IGH,EUR,P28_I131_S1,P28_I138_S1,0.456896551724138,0.715909090909091
IGH,EUR,P28_I132_S1,P28_I138_S1,0.462809917355372,0.738636363636364
IGH,EUR,P28_I134_S1,P28_I138_S1,0.342105263157895,0.852272727272727
IGH,EUR,P28_I135_S1,P28_I138_S1,0.385245901639344,0.852272727272727
IGH,EUR,P28_I136_S1,P28_I138_S1,0.394957983193277,0.818181818181818
IGH,EUR,P28_I137_S1,P28_I138_S1,0.467213114754098,0.738636363636364
IGH,EUR,P28_I100_S1,P28_I139_S1,0.391666666666667,0.820224719101124
IGH,EUR,P28_I101_S1,P28_I139_S1,0.237113402061856,0.902439024390244
IGH,EUR,P28_I107_S1,P28_I139_S1,0.339622641509434,0.804597701149425
IGH,EUR,P28_I109_S1,P28_I139_S1,0.285714285714286,0.842696629213483
IGH,EUR,P28_I10_S1,P28_I139_S1,0.404761904761905,0.842696629213483
IGH,EUR,P28_I116_S1,P28_I139_S1,0.31858407079646,0.865168539325843
